Date;Game;Heure;Pool;Équipe Visiteur;Équipe Local
22-août;1;08h00;Pool A;Alcool'Eau;Prédateur
22-août;2;09h00;Pool B;Paper Bag;CSL
22-août;3;10h00;Pool A;Xakyma;Alcool'Eau
22-août;4;11h00;Pool B;Lardons;CSL
22-août;5;12h00;Pool A;Xakyma;Prédateur
22-août;6;13h00;Pool B;Paper Bag;Lardons
22-août;7;14h00;Pool C;Astros;Get Kahwi
22-août;8;15h30;Pool D;Labatt 50;Constructions Despard
22-août;9;16h30;Pool C;Déménagement AM;Astros
22-août;10;17h30;Pool D;Constructions Despard;SATD
22-août;11;18h30;Pool C;Get Kahwi;Déménagement AM
22-août;12;19h30;Pool D;SATD;Labatt 50
22-août;13;20h30;Éliminatoire;3e Pool D;2e Pool C
22-août;14;21h30;Éliminatoire;3e Pool C;2e Pool D
23-août;15;08h00;Éliminatoire;3e Pool A;2e Pool B
23-août;16;09h00;Éliminatoire;3e Pool B;2e Pool A
23-août;17;10h00;Quart-Final;Gagnant Game 14;1er Pool A
23-août;18;11h00;Quart-Final;Gagnant Game 13;1er Pool B
23-août;19;12h00;Quart-Final;Gagnant Game 15;1er Pool C
23-août;20;13h00;Quart-Final;Gagnant Game 16;1er Pool D
23-août;21;14h30;Demi-Final;Gagnant Game 17;Gagnant Game 18
23-août;22;15h30;Demi-Final;Gagnant Game 19;Gagnant Game 20
23-août;23;16h30;Final;Gagnant Game 21;Gagnant Game 22
